Awareness Overtime,Awareness Total,,Awareness Impact TP1,Awareness Impact TP2,Awareness Impact TP3,Awareness Impact TP4,Awareness Impact TP5,Awareness Impact TP6,Awareness Impact TP7,Discussion Heat Impact TP1,Discussion Heat Impact TP2,Discussion Heat Impact TP3,Discussion Heat Impact TP4,Discussion Heat Impact TP5,Discussion Heat Impact TP6,Discussion Heat Impact TP7,,,,,,,,,,
61.6725258046,41.5426970141,,0.3963623323,0.3440624991,0.1759536211,0.9643921085,0.3592143672,0.3287127898,0.6317202903,0.4649427153,0.849919824,0.8630331898,0.1877557786,0.5091203492,0.2978185061,0.7389431358,0.660076078,0.5790509613,0.2347139904,0.6325436288,0.1363882507,0.6257506367,0.0562335229,0.8159102719,0.0918706465,0.3107119446
74.6536629715,49.6241806754,,0.036652662,0.352308473,0.8253274957,0.0455027793,0.0476546989,0.2773029359,0.3033949968,0.4885883916,0.7762210416,0.964522301,0.1108275825,0.7455004242,0.362826227,0.6023790083,0.0964941904,0.6366416109,0.2883365098,0.4668335637,0.4775665388,0.0464283268,0.0264889798,0.4653313278,0.6184824978,0.5481375706
177.9470525351,132.9943497829,,0.4485534356,0.2483289204,0.4366193496,0.210738832,0.2177565615,0.037366938,0.4032134345,0.7371554023,0.4432744743,0.2024338633,0.4059140018,0.8578139119,0.6770757494,0.5364059163,0.318460807,0.2090045979,0.9316243474,0.1206362515,0.9833265755,0.7624891861,0.7724277326,0.6533059979,0.4547669289,0.2409572448
60.969498315,40.4374733363,,0.696642508,0.1209387991,0.7725718183,0.8533457864,0.9474262736,0.7335195247,0.240914555,0.114701229,0.6334508845,0.114946847,0.172045328,0.4771766482,0.5239691344,0.8430885837,0.3211784603,0.9919212077,0.1720530399,0.5674975613,0.7867736232,0.2460334247,0.0820989739,0.0978849158,0.9795130884,0.3744128864
42.5405474339,25.2540253766,,0.4824208589,0.0527369536,0.3736285043,0.0332601079,0.8897298734,0.8850005415,0.145832514,0.8401376308,0.0595250311,0.3605509486,0.4799616485,0.9349198279,0.1048960015,0.8551957215,0.2695389288,0.9966229436,0.5359658684,0.1572564854,0.1858159971,0.2630207728,0.7231783434,0.8153101326,0.5954559185,0.8431155734
144.7200262419,106.9911136679,,0.8198601355,0.4544595387,0.6098700056,0.8869479324,0.4929660156,0.8995437201,0.6273227161,0.9828932576,0.9056407237,0.3899853412,0.0892710406,0.4895065101,0.2712081857,0.6485135001,0.8140058429,0.3771413806,0.9554251503,0.0747881908,0.1935142534,0.5539833414,0.5423131719,0.8749923519,0.7435841798,0.581800899
209.5026355012,158.3254161844,,0.4986089775,0.5097459828,0.9825229232,0.1486328274,0.072850435,0.4452362717,0.3804639317,0.6587936308,0.8473408258,0.826246635,0.1690870556,0.8249932362,0.924712419,0.3548063601,0.1306795061,0.2030312504,0.0755347849,0.3544721337,0.09581576,0.1964399185,0.299391841,0.7277914115,0.7705367923,0.1766142604
214.1785585992,162.3694299997,,0.159076756,0.2732864829,0.6867602727,0.0133815955,0.9360310798,0.6183379065,0.5237548666,0.491627153,0.1248809681,0.8456340216,0.783863618,0.8015059454,0.0358997044,0.7433932526,0.8222626203,0.5329359358,0.3064526278,0.4933542798,0.5283931131,0.3794806983,0.9359566064,0.5255686799,0.5358062826,0.0623945118
61.875546679,62.5585978619,,0.0536134296,0.2153194584,0.6975120284,0.8225166678,0.0041526494,0.0750280024,0.7055242374,0.1958657662,0.4940457163,0.1028010535,0.1561467347,0.6881987709,0.4791305607,0.9893084942,0.0666455776,0.3944640671,0.1943117388,0.9559715541,0.8343054493,0.5709912951,0.2269777917,0.0999802495,0.8954681762,0.6614250842
210.122076008,159.3094101012,,0.818004514,0.2554479195,0.8900049042,0.3018239331,0.6376890067,0.5450499526,0.9657729032,0.3860093419,0.1286859175,0.9927824309,0.96796125,0.3591644624,0.1339942009,0.7960158392,0.6498301943,0.5258457027,0.93526886,0.1138080031,0.714201123,0.3079845113,0.0152089201,0.5184794385,0.4491550553,0.0691209946
139.2503271548,103.3801306213,,0.8274995495,0.5787432891,0.956749779,0.3330246807,0.6087625191,0.395221019,0.4901669092,0.9680222094,0.7991959946,0.2929646426,0.2125517358,0.1827653083,0.9520610839,0.2906443957,0.7699104529,0.984837242,0.1068991917,0.4123506959,0.4307808058,0.0905088533,0.4773408903,0.3854977884,0.1869937872,0.1421206769
208.8114973973,158.1678446196,,0.9615931429,0.7771058341,0.1326955206,0.4889805235,0.4221690161,0.1607767567,0.6429001458,0.7183307339,0.9011499164,0.4779691668,0.3581960749,0.5848531166,0.9382470745,0.3597154893,0.7488293136,0.9803435755,0.9411561734,0.8087147785,0.0792394109,0.1096025247,0.1211743838,0.3067727348,0.9232251425,0.0942514816
57.4141378473,53.4979689778,,0.8517771403,0.1088499405,0.9902682198,0.813099911,0.4338269623,0.2125186597,0.9151453827,0.9058507885,0.1583145927,0.2504170139,0.8358105348,0.5163471515,0.2460084046,0.3433287635,0.0386299753,0.5322261644,0.7131147782,0.7728060309,0.6854058777,0.7897613467,0.4630290657,0.1847912184,0.6532241073,0.9558371723
39.1019145604,19.7725190398,,0.9364827922,0.9194833805,0.8160144015,0.5734151392,0.4658696744,0.9777337863,0.6758124806,0.0625136539,0.0742595341,0.0805435469,0.1120651051,0.3056387096,0.8355856033,0.2557767036,0.1589206245,0.8147660412,0.0697174682,0.3949896019,0.1432994792,0.3763898496,0.5846082509,0.2633176626,0.220639937,0.5018167666
40.9785319541,23.5225585138,,0.8974315326,0.5166492006,0.3305669199,0.9717983968,0.8675995469,0.3828550507,0.8613323803,0.2577592109,0.4567813686,0.7976318473,0.8597278606,0.6262912121,0.3945158957,0.950555999,0.4522712836,0.2892502949,0.3727411466,0.3932341281,0.2538212925,0.0487039177,0.0185380233,0.0889752468,0.9313745007,0.5041430266
52.2052491694,50.7157583784,,0.301613242,0.042198731,0.7636523948,0.038785868,0.2215225568,0.4358310675,0.9911858005,0.4824652357,0.5893620762,0.526233927,0.9869571599,0.5605042349,0.4696320506,0.8977446421,0.7942615219,0.9811507714,0.380204129,0.0626994431,0.3762997275,0.2885537628,0.6617992928,0.8078490586,0.0011178102,0.4139293574
43.0448906205,25.8237799286,,0.5231107733,0.1343650235,0.5458589034,0.1944783645,0.1436824214,0.1161741829,0.1458953707,0.9977813721,0.8738797365,0.5101481968,0.537260061,0.9888107186,0.0097671243,0.4917135862,0.6448977658,0.5073639348,0.8404319079,0.460737091,0.454608879,0.485636227,0.6662718008,0.4650800493,0.9731594213,0.8288142609
78.1711889672,54.7619056368,,0.2689892285,0.4230048819,0.128882733,0.2059874691,0.8775124771,0.9906554072,0.7941996748,0.7543368222,0.0187903448,0.6171219621,0.7218363965,0.7864756384,0.7683831947,0.0571415557,0.0781191,0.7089804616,0.8230001297,0.3702720358,0.4295781881,0.0095647938,0.5056086113,0.225418394,0.4931945055,0.35101162
54.232295831,51.4076477572,,0.2834691615,0.1508786228,0.6959727221,0.5218957304,0.6304246031,0.2226152334,0.6061284474,0.2372900838,0.0969996461,0.567247915,0.5960264375,0.557065071,0.265343463,0.9713017956,0.6761100788,0.9950532988,0.8607739832,0.8345345354,0.2994126034,0.2292665111,0.6676598659,0.6827051759,0.0778430942,0.6915158623
213.9191892299,161.9635769886,,0.0546020532,0.4639360782,0.7742913459,0.2141998991,0.8523536517,0.8928587363,0.6386971815,0.3426898865,0.0476436567,0.178023178,0.1415817583,0.8836546908,0.2570459458,0.5705896705,0.4251394924,0.7528331068,0.2272623972,0.3061108624,0.3398414815,0.2101740626,0.6716647661,0.6762509145,0.7636018063,0.1259304952
43.1788280494,27.3022035342,,0.5976670179,0.1635778382,0.0109108274,0.0082057228,0.9054762253,0.8001040927,0.5309403072,0.1406158731,0.4459966061,0.1690395031,0.766477075,0.3281457899,0.9141378891,0.7592595832,0.9996436738,0.4299396924,0.9235060135,0.7032816532,0.2457155136,0.0696821689,0.3594301811,0.2820799227,0.7729461085,0.6573892925
154.0799895151,114.4755064029,,0.6395075115,0.9638601784,0.6241633638,0.1308431627,0.8243224172,0.1589528651,0.5950012086,0.6305678557,0.6157250647,0.319273934,0.4839829016,0.6591583095,0.1560293708,0.4883402336,0.0712733573,0.1439382569,0.1987174899,0.9166164286,0.2057699562,0.2213368459,0.6597150295,0.8970091252,0.5843024551,0.4920380802
52.5731867927,50.0366086291,,0.7780266664,0.5466127356,0.2920641285,0.9578709149,0.1154994397,0.8633511823,0.9399985287,0.8445722464,0.407707103,0.0199479611,0.2827167437,0.0389689845,0.8414250541,0.5226967827,0.5296224318,0.9247891131,0.6788931536,0.5587935628,0.1722732354,0.9882263505,0.2750387371,0.5835299427,0.0426086174,0.6825465882
165.8786314771,125.3682906467,,0.4410600447,0.9574374299,0.4895257146,0.690438481,0.796245927,0.2335103155,0.0153867235,0.903474604,0.2196349267,0.5159245156,0.4493923091,0.1499639026,0.7640927744,0.1642087899,0.7513577367,0.9456397529,0.4276144304,0.0006136884,0.8372793904,0.3160424393,0.9901330164,0.093462434,0.3971812893,0.0451187692
53.1946771647,48.4497113141,,0.7188446957,0.13555754,0.5360828801,0.5414754079,0.1210352482,0.4142554932,0.210530204,0.8818869927,0.0806202581,0.3786111367,0.8559851777,0.4910738253,0.6530876146,0.8490325524,0.3044685224,0.3474279542,0.5132580931,0.9861759844,0.0772034914,0.5662809858,0.5512551875,0.2383498902,0.4036095252,0.7054703452
39.3425069005,19.7088670979,,0.3943030341,0.6204855418,0.8658462397,0.1623754727,0.6954472962,0.842771639,0.3972095113,0.587258804,0.8750205888,0.0033384411,0.4730336127,0.3246611772,0.6266502944,0.7869167534,0.7243540603,0.5127646067,0.9068338823,0.3701857889,0.8774384162,0.6200502317,0.3155823826,0.52456308,0.8763927165,0.8792424664
46.820733661,37.5488260084,,0.7453604767,0.7284786837,0.2814037707,0.2904453058,0.9265267062,0.4537149136,0.5517785429,0.6085398938,0.0297056547,0.174182165,0.6207935295,0.0043274765,0.7989987597,0.0605399959,0.2484686701,0.8945651342,0.7846682962,0.770362083,0.9987319494,0.7729559933,0.1199048023,0.2210826315,0.329042102,0.7423201602
59.7401932435,39.3805833928,,0.9435154809,0.7417507666,0.2033888138,0.8475858314,0.0088469053,0.5396586925,0.8436911201,0.239904769,0.2389824154,0.9891981208,0.7199661328,0.6641100151,0.9892314476,0.8528391797,0.6462424055,0.7548981531,0.5601534675,0.1779141284,0.8970427745,0.1515320169,0.0678371053,0.2779283548,0.5883642876,0.49652418
45.7777153193,37.2454145478,,0.1228808851,0.9034091565,0.1774332961,0.9706753852,0.8954983392,0.4348427339,0.8271161432,0.1350065329,0.0513975536,0.6890382278,0.5537170818,0.4995361673,0.7315611339,0.7202971581,0.5309964796,0.4195202392,0.2187794846,0.8190555161,0.6585943757,0.6316847069,0.1847667019,0.763204445,0.5196457051,0.9861453132
76.5413625823,53.9192234339,,0.4439149631,0.2610855173,0.1502249091,0.7041232093,0.9532198989,0.4401943854,0.6223598876,0.7972294509,0.3926361127,0.1819167446,0.3027058804,0.1210047229,0.0360981753,0.0801588781,0.79057205,0.9035654049,0.7806694558,0.8105245564,0.9618453509,0.4896206373,0.139757565,0.7367289747,0.2494566544,0.4707896583
150.8372500974,111.2005743161,,0.726061385,0.6522292253,0.2763872591,0.3350621164,0.2508919451,0.6575905002,0.2238140688,0.2614085694,0.3487351748,0.3078954927,0.8648442699,0.7099623946,0.5994017476,0.3295441784,0.0233911403,0.0138581196,0.9648354575,0.4020798883,0.328094954,0.2657256604,0.4836282609,0.7282166681,0.5227938083,0.4100036409
40.9208574897,28.2362741768,,0.4735165759,0.3740320672,0.2679012085,0.6016491505,0.68061014,0.6513286971,0.3211485473,0.5724857354,0.7838311312,0.1354563599,0.2215024634,0.9583445283,0.4140179591,0.2644266503,0.1166683254,0.283318725,0.379374656,0.8489398272,0.1724427157,0.5718647146,0.1024232541,0.237983746,0.0812797429,0.3651475857
105.796071022,74.5834235824,,0.368343183,0.3309531569,0.5477867472,0.25494279,0.3605584313,0.1047770447,0.2704675055,0.916570023,0.6166593964,0.8333304612,0.8618817975,0.0217487118,0.9762234325,0.7164466707,0.3534922775,0.3429296647,0.8118240214,0.2071343365,0.416820821,0.8225704258,0.8354958075,0.9281433788,0.1991383919,0.3739866496
138.6877293902,100.8907355841,,0.555148536,0.7028125486,0.7197637074,0.7048256026,0.0189001522,0.8901706449,0.1021477064,0.5098719677,0.8300254357,0.9105522211,0.5272726338,0.9668101677,0.5411933311,0.5755278983,0.68549551,0.5867317469,0.4438924845,0.5947384038,0.6768178761,0.1205898617,0.4574215847,0.4222605893,0.7636651789,0.4034676873
59.6105674394,39.7283379205,,0.2915468034,0.4264224745,0.115610223,0.7304410691,0.307906008,0.2195238057,0.7020775373,0.6009799643,0.5374655947,0.8677073632,0.7869162712,0.4432474108,0.1248123284,0.6162654997,0.0578312137,0.2353187926,0.0647893017,0.7119553863,0.2840130486,0.7772579002,0.4729615519,0.8814355375,0.5369103716,0.7361509825
152.9759199155,112.6420180504,,0.7886236059,0.033725122,0.4319378202,0.4856133588,0.247537487,0.7946269083,0.5530158605,0.1919476858,0.6813166368,0.5523434788,0.2071897093,0.5610470333,0.2013475298,0.7960553738,0.9231762468,0.1532995217,0.6073673704,0.6630193962,0.6555391901,0.1981659229,0.4242929206,0.7747836038,0.4852948537,0.3957654071
56.1239635426,54.6297733196,,0.3156218076,0.6394052029,0.7181017194,0.2797186324,0.2477047285,0.1240963389,0.6727891124,0.3336614085,0.1864127972,0.7615119452,0.1258317792,0.203256656,0.2962017672,0.9429326044,0.3314783314,0.0261956933,0.5813002224,0.3728850747,0.7725936509,0.1145947643,0.6597268552,0.5122812849,0.3138764333,0.9673560092
167.4086690552,124.6717695101,,0.8930671523,0.1209466081,0.2269649752,0.8644769298,0.4084173021,0.4254464347,0.6360455468,0.1009556889,0.6436290444,0.884409962,0.2929295615,0.2548541876,0.9229664602,0.0010882824,0.2321670597,0.7522448394,0.2275114275,0.1416738498,0.7796156419,0.3911805456,0.7631318877,0.8579465806,0.5919859951,0.4174925108
64.0910409891,64.7522138494,,0.1485528307,0.7841015573,0.8902356384,0.2071331087,0.0470470585,0.7801521631,0.8162854283,0.6029464815,0.8474891108,0.6280914086,0.8903839301,0.4781628389,0.5639922772,0.2520332479,0.8755466824,0.154576495,0.4680752652,0.1298452989,0.9658489332,0.8902821814,0.0932815487,0.2913224749,0.1069520409,0.7700077228
43.9205060207,29.2769481754,,0.1594011738,0.0567410976,0.4300951993,0.9804956884,0.6519211868,0.4596713142,0.234885751,0.6340502383,0.7620573645,0.1192153148,0.6915726573,0.0152799524,0.6436968599,0.1793775285,0.4500900668,0.3692309415,0.9758072676,0.8170622138,0.6410083081,0.1235191529,0.1323450131,0.7352326144,0.3326321708,0.7427342914
56.1518564924,53.8000928738,,0.3564218226,0.0040557701,0.3688374623,0.2503024006,0.7114649266,0.5903947822,0.653838402,0.821157774,0.7393332095,0.9248006982,0.3729301185,0.7479891167,0.6938279538,0.8951943891,0.3423520116,0.5144888256,0.9377634847,0.7277184303,0.6667691181,0.670948743,0.5927397421,0.3177774679,0.1494707605,0.7007089544
46.8593554262,41.0901481832,,0.8129846635,0.7080750231,0.4482362507,0.0903811312,0.1181121685,0.5754940371,0.7989204984,0.3724316833,0.0643663486,0.78495642,0.2391623541,0.995623544,0.1599008138,0.2959373455,0.6562211206,0.4969804659,0.336867187,0.9660980244,0.6557980377,0.5983508456,0.4815644627,0.086540076,0.2028008114,0.5313126702
185.9110702612,139.4338389562,,0.4936265605,0.804474272,0.2203609643,0.1060750458,0.0962028773,0.9416340418,0.8500154851,0.7831960426,0.1513123805,0.100555014,0.8738159073,0.2813502614,0.5480289369,0.3658794509,0.8782287728,0.0600439777,0.8258817739,0.3541342758,0.10004424,0.3530896984,0.5718316979,0.8429701608,0.5361097729,0.2968156413
39.5128670162,26.2629980215,,0.2864103743,0.7196383428,0.8215586669,0.0964005023,0.8530861144,0.5285209023,0.5853039061,0.1043871453,0.9646467877,0.4688189532,0.4769196057,0.1473430891,0.8613663257,0.2960430367,0.8256339656,0.4298004564,0.5179485529,0.2147379921,0.9400094997,0.8690208388,0.9797181384,0.5149148017,0.3859868299,0.7697957954
170.4120011783,127.4275499914,,0.8932553813,0.4009499663,0.1913213891,0.3354069228,0.4026474379,0.1892525729,0.8160426681,0.6290340248,0.4897565557,0.8097884657,0.9014177722,0.2493137965,0.5253804034,0.3365891355,0.264002725,0.1644151911,0.267908311,0.0936630047,0.3367161232,0.8609123872,0.7970520597,0.7352653645,0.2754716713,0.2068996057
45.2455653613,30.2653827139,,0.9024574865,0.5832720828,0.2477574056,0.2032066238,0.2604792556,0.4194416437,0.9986512264,0.1022375519,0.3271278468,0.8766392688,0.6501137281,0.2108697767,0.2511743724,0.550634997,0.8310009428,0.062013858,0.2686253244,0.9628782145,0.6580913271,0.5388490671,0.9782560378,0.5446884496,0.7925224923,0.9664138793
40.4813507281,23.1761169964,,0.6176181855,0.8845928573,0.7813852844,0.1471442633,0.9599129907,0.5830787332,0.1608238443,0.8101166896,0.7343487221,0.1928191738,0.3448421854,0.9681672355,0.5360774428,0.887468666,0.1531194297,0.2327220468,0.0365324053,0.6984146911,0.9414868362,0.2230879858,0.9309642662,0.3864103305,0.6903225087,0.8251174035
191.6409175364,144.7206158789,,0.4672009613,0.2738019903,0.0789694901,0.2035739239,0.5881319725,0.6531054613,0.5283863215,0.1531909526,0.6901455059,0.7089724766,0.4295895765,0.5853284052,0.7507220604,0.2431291579,0.2920496215,0.6902971651,0.110616102,0.8756566292,0.3440526428,0.5898349059,0.5095327488,0.8110232528,0.1961436684,0.0998811014
44.9740285395,37.6814410566,,0.0689337801,0.7035670257,0.539116137,0.5607128738,0.7915835001,0.6346655624,0.4896162439,0.559667528,0.8046715412,0.7226203932,0.1192807191,0.771091788,0.0118265071,0.4263212245,0.9074292097,0.0688213671,0.0390604207,0.1750448383,0.3426832893,0.5284094408,0.3606612902,0.559282505,0.6654860701,0.9294854291
204.9948530272,154.7875643953,,0.2732767518,0.9512786647,0.7913479344,0.8930408508,0.9499089696,0.0890030621,0.7837452484,0.8441020214,0.1502673253,0.853566879,0.8559508112,0.5771639761,0.2899020403,0.197633357,0.7726759039,0.3199242735,0.477768117,0.941161741,0.6952558453,0.8402683904,0.8203462825,0.940862908,0.9682121993,0.3221239281
47.3098531155,37.4945955277,,0.7601732542,0.9610336001,0.0803765854,0.447713486,0.4676108944,0.4259760849,0.0503622726,0.3669013091,0.3369102885,0.1179980845,0.7840215183,0.008742017,0.451102893,0.8000276081,0.5306284266,0.4960041672,0.474978083,0.6881662786,0.4248780112,0.2603556574,0.8113825316,0.6770435959,0.2433943792,0.8240613735
48.6586949771,42.5616264733,,0.0133035652,0.2296236661,0.927292076,0.1134584695,0.3826754597,0.8831552234,0.126436305,0.6001377656,0.4065735127,0.3942445398,0.0063995606,0.5276747426,0.182438233,0.6485702931,0.8257133402,0.9749166484,0.2661977206,0.5945477234,0.338865375,0.5312474905,0.4406332486,0.6252897434,0.9095945105,0.9149156479
50.8971616869,44.7042585363,,0.7460598137,0.0295002096,0.3293867808,0.9524235842,0.7413693782,0.3594749694,0.7276775841,0.9551428759,0.3707118371,0.8231746268,0.6331171205,0.6787321287,0.9995646203,0.09737211,0.1993566683,0.7315989779,0.1536689841,0.2801672497,0.8441662771,0.5105620093,0.2452870072,0.0536999571,0.0672945495,0.4850318047
224.6774978152,170.9543252485,,0.1034606481,0.5116820865,0.0103339788,0.9254451315,0.4384298259,0.5214073528,0.4009560373,0.9773496753,0.4650940603,0.9361881696,0.8842322174,0.3194513496,0.7863777992,0.4517064663,0.385358618,0.5120997115,0.2945869013,0.4085555265,0.0709532156,0.5421016301,0.2873200122,0.3832882295,0.6801966557,0.0004171441
