9.28845716386121 171.28737466118537 ;0.2339790562717431 0.9346854888001743 0.999272746890335 0.0017426920181097586 1.0 
9.417426245160113 171.0886031574525 ;0.22315004672209193 0.9999972900139368 0.9668717468014766 0.01562816290737703 1.0 
9.486840911809155 170.66054640082268 ;0.22902846524109452 0.9961618480035022 1.0 1.8460048557041725E-8 0.9838194267767499 
9.509973260340123 170.09376089567306 ;0.22869307036587316 0.9604386071223479 0.9970490594008271 8.245014263768224E-4 0.9939428772371498 
9.520025887727185 170.01848477712514 ;0.21908432245461945 0.9893392142235785 0.8517462273505868 0.008844346375838062 1.0 
9.533637202656783 169.34099703281692 ;0.24320679925349226 0.995513492423957 0.996138973305238 1.7356641835863593E-4 0.9074104465335884 
9.59177235845717 169.0774815724996 ;0.2196994344220014 0.9985191013192918 0.9321743164233762 0.0 1.0 
9.682649187904213 168.3228995700503 ;0.22440527490041812 0.98924985838161 0.9560975355665478 6.124302715181914E-4 0.9423989388242351 
9.787267517678771 167.4391434625286 ;0.21701651290872975 0.98235198977574 0.882254242922234 0.0 1.0 
9.89533453825468 166.98069864053576 ;0.2169757147516269 0.9855656514800897 0.9411934704166302 1.5931982695833988E-6 0.9772217584417191 
9.987416679470758 166.37806655416114 ;0.1995871774762018 0.9714609880254854 0.9741983155061134 1.9448177661486731E-4 1.0 
10.052354947908832 166.26933500237078 ;0.19896996374893214 0.9849790881337348 0.9807123823220523 4.667273720029525E-6 1.0 
10.095022431092609 166.236635961407 ;0.20554411088766494 1.0 1.0 0.0064581100913656125 0.9440375980628559 
10.123181005629142 166.16656493147326 ;0.2020747161760559 0.9821147828099098 0.9052299244408115 0.0026024490084850978 0.995640515351404 
10.12591742040849 165.189078349289 ;0.18870162131900853 0.9955923474326414 0.9917284789612713 0.004086796203493759 0.9959186122410459 
10.19939033165983 164.3610459235673 ;0.19282060000611395 1.0 1.0 1.6712095820209964E-5 0.9929487295120406 
10.217293113026411 163.64390507844206 ;0.20351897809289293 0.9501367831786091 0.8230539452646908 0.0 0.9952090018601422 
10.442857643218883 162.78625287586667 ;0.18822329968152018 0.9784379506312585 0.923299521698804 0.0 0.9873362441336418 
10.504854259359982 162.7089540600051 ;0.18210794440423955 0.9356283089312479 1.0 0.0 0.9937898523950879 
10.61564118027215 162.68844167084976 ;0.17521571294745575 0.995865696423356 0.8701139627113089 1.6193264956852938E-4 1.0 
10.636833134885325 161.96775265001025 ;0.17553629290318168 0.9865157743402666 1.0 7.809617733689862E-4 0.9989634783400212 
